Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,6,,,,,,,,,,,,,,,,,,,,
Start Time,4:33:10.9 PM,,,,,,,,,,,,,,,,,,,,
End Time,4:44:18.3 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:11:07.3,,,,,,,,,,,,,,,,,,,,
Distance,2824 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
32,4:34:23.3 PM,0:01:55.219000,25.7,4.34,9.9,245,573,623,-16.2,45,89.1,65.1,-56.3,32.8,13.8,10.3,619,0.9,,38.5,61.5
33,4:34:25.6 PM,0:01:54.124000,25.1,4.38,10.4,236,563,634,-9.8,55.5,88.4,62.1,-58.9,29.5,17.5,8.9,678,1.052,,44.1,55.9
34,4:34:28.0 PM,0:01:55.506000,27,4.33,9.9,281,625,662,-11.2,52,89.8,63.1,-57.9,31.8,14.7,12,648,0.989,,44.6,55.4
35,4:34:30.2 PM,0:01:54.934000,26,4.35,9.8,257,594,649,-8.1,56.8,88.3,65.5,-58.2,30.1,13.1,9.7,655,0.977,,42.3,57.7
36,4:34:32.5 PM,0:01:55.084000,25.3,4.34,9.9,266,631,661,-11,52.4,90.4,67.7,-58.4,32,13.5,9.2,605,1.007,,42.5,57.5
37,4:34:34.9 PM,0:01:56.723000,26,4.28,9.7,256,591,649,-7.4,56.1,88.1,65.4,-56.7,31.3,12.4,10.2,723,0.93,,40.3,59.7
38,4:34:37.2 PM,0:01:57.618000,25.8,4.25,9.4,262,610,632,-18,44.3,89,66.7,-57.4,31.6,12.2,10,669,0.96,,41.3,58.7
39,4:34:39.5 PM,0:01:59.679000,25.6,4.18,10,265,620,644,-8.7,53.9,88.8,66.6,-56.6,32.3,13,9.3,657,0.945,,40.4,59.6
40,4:34:41.9 PM,0:02:00.043000,26.2,4.17,9.9,228,522,611,-13,49.6,91.2,61.6,-58.2,32.9,18.9,10.7,692,0.96,,41.8,58.2
41,4:34:44.2 PM,0:01:59.287000,26.5,4.19,9.4,251,569,639,-13.4,47.9,90.4,63.8,-56.7,33.8,14.6,12.1,717,0.96,,42.4,57.6
42,4:34:46.4 PM,0:02:00.187000,25.8,4.16,9.6,250,581,631,-14.9,48.1,89,66.5,-57.7,31.3,12.4,10.1,697,1.005,,43.2,56.8
43,4:34:48.8 PM,0:01:59.179000,26.7,4.2,9.8,205,461,536,-9.8,52.3,86.7,57,-55.1,31.6,18.6,11.1,784,0.93,,41.3,58.7
44,4:34:51.0 PM,0:01:57.982000,25.2,4.24,10.2,238,567,601,-9.2,54.6,88.1,65.9,-57.2,30.8,12.5,9.6,723,0.945,,39.6,60.4
