Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,8,,,,,,,,,,,,,,,,,,,,
Start Time,5:09:18.5 PM,,,,,,,,,,,,,,,,,,,,
End Time,5:21:19.3 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:12:00.8,,,,,,,,,,,,,,,,,,,,
Distance,3014 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
1,5:09:18.5 PM,0:33:12.432000,25.5,0.25,6.5,206,486,533,-11.7,51,84.6,61.3,-54.9,29.7,14.3,8.9,703,1.079,,45.8,54.2
2,5:09:20.8 PM,0:25:07.174000,27,0.33,7.8,230,512,554,-15.4,47.1,84.3,61.3,-55.2,29.1,12.8,10.2,639,1.005,,45.3,54.7
3,5:09:23.0 PM,0:19:06.444000,29.4,0.44,8.2,280,573,661,-13.5,50.2,81.8,61.9,-54.6,27.3,12.2,7.7,600,0.917,,44.9,55.1
4,5:09:25.1 PM,0:02:30.170000,29.7,3.33,8.7,252,510,544,-11.9,51,84.1,60.1,-54.8,29.3,13,11.1,657,0.931,,46,54
5,5:09:27.1 PM,0:02:11.176000,28.6,3.81,9.1,256,538,572,-11.9,51.7,86,63.6,-56.4,29.6,13.8,8.6,673,0.947,,45.1,54.9
6,5:09:29.2 PM,0:02:01.071000,29,4.13,9.1,227,470,499,-15.6,48.4,85.9,61.2,-57.2,28.7,15,9.7,625,1.093,,52.9,47.1
7,5:09:31.3 PM,0:01:56.926000,29.6,4.28,8.5,241,489,564,-11.5,53,85.3,60,-56.7,28.6,14,11.3,614,0.885,,43.7,56.3
8,5:09:33.3 PM,0:01:55.670000,29.4,4.32,8.8,225,459,538,-13.1,50.6,84.8,57,-56,28.8,16.9,10.9,627,1.004,,49.2,50.8
9,5:09:35.3 PM,0:01:56.478000,29.2,4.29,8.4,239,492,561,-13.1,51.5,86,61,-57.4,28.6,16.7,8.3,660,1.02,,49.6,50.4
10,5:09:37.4 PM,0:01:56.744000,29.4,4.28,8.7,220,449,502,-20.6,41.5,83.2,57.4,-55.1,28.1,13.6,12.2,652,0.915,,44.8,55.2
11,5:09:39.4 PM,0:01:56.747000,30.6,4.28,8.7,234,459,527,-13.9,48.5,83.9,60.3,-54.6,29.3,13,10.7,596,0.853,,43.5,56.5
12,5:09:41.4 PM,0:01:57.503000,29.6,4.26,8,218,441,523,-14.6,49.1,85.1,60.6,-56.3,28.8,14,10.4,614,0.886,,43.7,56.3
13,5:09:43.4 PM,0:01:57.626000,30.3,4.25,8.6,231,456,550,-15.8,47.6,83.1,58,-55.4,27.8,16.3,8.9,633,0.931,,47,53
14,5:09:45.4 PM,0:01:56.697000,30.3,4.28,8.6,226,447,545,-12.4,52.5,82.8,58.7,-55.8,27,14,10.1,656,1.006,,50.8,49.2
15,5:09:47.4 PM,0:01:56.280000,29.9,4.3,8.7,204,410,478,-17.7,45.5,83.9,56.7,-55.9,28,15.6,11.6,663,0.93,,46.3,53.7
16,5:09:49.4 PM,0:01:56.457000,30.3,4.29,8.7,206,409,480,-15.9,46.3,82.8,54.1,-54.2,28.6,17,11.7,645,0.916,,46.2,53.8
17,5:09:51.4 PM,0:01:54.289000,29.9,4.37,8.6,214,431,502,-15.7,47.5,82.8,56.7,-55.1,27.7,14.7,11.4,623,0.93,,46.3,53.7
18,5:09:53.4 PM,0:01:54.244000,31.3,4.38,8.3,221,424,526,-16.1,47,79.8,55.5,-53.6,26.2,14.8,9.5,611,0.872,,45.4,54.6
19,5:09:55.3 PM,0:01:54.578000,30.8,4.36,8.4,212,413,504,-17.8,45.4,83.3,55.2,-55.6,27.6,17,11,628,0.9,,46.2,53.8
20,5:09:57.2 PM,0:01:54.192000,31.3,4.38,8.7,232,444,527,-16.4,46.5,82.1,56.2,-54.6,27.4,16.4,9.5,609,0.838,,43.7,56.3
21,5:09:59.2 PM,0:01:53.217000,29.4,4.42,9.4,197,403,524,-14.9,48.9,83.3,53.3,-55.7,27.6,19.5,10.4,604,0.914,,44.8,55.2
22,5:10:01.2 PM,0:01:51.690000,30.3,4.48,8.9,228,452,529,-15.6,48,82.6,59.5,-55.2,27.4,13.1,10.1,637,0.915,,46.2,53.8
23,5:10:03.2 PM,0:01:51.495000,30.5,4.48,8.7,225,442,495,-11.4,52.2,82.2,57.3,-54.4,27.8,15.4,9.5,640,0.974,,49.6,50.4
24,5:10:05.1 PM,0:01:50.621000,30.1,4.52,9.1,226,451,519,-9.8,54.8,82.8,58.5,-55.2,27.6,15,9.3,649,0.914,,45.8,54.2
25,5:10:07.1 PM,0:01:50.945000,30.5,4.51,8.4,229,450,524,-17.4,47.7,82.6,57.3,-56.9,25.8,16.5,8.8,661,1.004,,51.1,48.9
26,5:10:09.1 PM,0:01:52.430000,29.5,4.45,9,211,430,506,-15.2,48.7,81.9,55.1,-55.2,26.8,16.9,10,646,0.958,,47,53
27,5:10:11.1 PM,0:01:52.266000,31.9,4.45,8.4,247,465,543,-17.6,45.4,83.3,57.6,-55.4,27.9,15.8,9.9,628,0.872,,46.4,53.6
28,5:10:13.0 PM,0:01:52.935000,29.7,4.43,8.8,248,503,589,-10.2,54.8,83.2,58.6,-55.9,27.3,15.5,9.2,614,0.915,,45.2,54.8
29,5:10:15.0 PM,0:01:54.183000,30.3,4.38,8.5,234,464,527,-14.2,51.7,85.3,59.4,-58.2,27,16.4,9.4,653,1.034,,52.2,47.8
30,5:10:17.0 PM,0:01:53.715000,29.6,4.4,9,240,486,552,-10.2,56.3,85.4,60.4,-58.3,27.1,16.4,8.6,650,1.084,,53.4,46.6
31,5:10:19.1 PM,0:01:53.545000,30.9,4.4,8.6,226,439,509,-10.7,54.1,81.4,56,-54.8,26.6,15.1,10.3,628,0.99,,50.9,49.1
