Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
36,5:04:14.8 PM,1:50.1,34.8,4.54,7.6,353,610,700,-8.7,52.1,89.7,71.2,-55.5,34.2,10.1,8.4,539,0.898,,52.0,48.0
37,5:04:16.5 PM,1:50.8,36.7,4.51,7.6,363,593,722,-8.9,51.9,88.6,69.2,-54.9,33.7,11.6,7.8,551,0.796,,48.7,51.3
38,5:04:18.2 PM,1:50.4,36.1,4.53,7.5,322,536,677,-6.8,55.2,88.3,65.7,-55.5,32.8,13.2,9.3,524,0.780,,46.9,53.1
39,5:04:19.8 PM,1:50.4,37.7,4.53,6.4,329,524,670,-7.1,56.1,89.8,65.5,-57.4,32.3,17.6,6.7,531,0.796,,50.0,50.0
40,5:04:21.4 PM,1:51.5,37.4,4.48,7.7,378,606,732,-7.5,51.8,89.2,68.7,-53.7,35.5,11.5,8.9,519,0.823,,51.3,48.7
41,5:04:23.0 PM,1:50.7,36.7,4.52,7.1,343,562,731,-8.4,53.8,87.6,65.9,-55.5,32.1,11.8,9.9,520,0.781,,47.7,52.3
42,5:04:24.7 PM,1:50.4,37.4,4.53,7.5,333,534,666,-12.5,49.1,86.0,68.3,-54.7,31.3,11.4,6.3,498,0.780,,48.7,51.3
43,5:04:26.3 PM,1:50.3,37.3,4.53,7.7,312,501,644,-3.1,60.3,85.0,61.8,-54.3,30.7,16.8,6.5,533,0.765,,47.6,52.4
44,5:04:27.9 PM,1:50.0,37.1,4.55,7.1,326,528,652,-9.4,50.8,84.8,62.7,-52.5,32.3,12.2,9.9,475,0.780,,48.2,51.8
45,5:04:29.5 PM,1:48.6,38.1,4.60,7.4,385,607,716,-8.5,52.4,86.8,68.2,-54.0,32.8,11.6,7.0,482,0.794,,50.4,49.6
46,5:04:31.1 PM,1:49.6,38.8,4.56,6.4,373,576,699,-9.3,54.9,85.9,67.1,-56.5,29.4,11.8,7.0,481,0.765,,49.5,50.5
47,5:04:32.6 PM,1:50.9,36.7,4.51,6.8,370,605,735,-7.6,54.1,86.8,69.6,-54.6,32.3,10.4,6.8,512,0.782,,47.8,52.2
48,5:04:34.2 PM,1:51.9,38.1,4.47,7.2,384,605,732,-10.3,51.4,88.4,70.3,-55.7,32.6,11.9,6.2,519,0.780,,49.6,50.4
49,5:04:35.8 PM,1:52.9,36.4,4.43,7.3,296,488,606,-4.4,59.9,85.5,64.8,-55.6,29.9,15.5,5.1,535,0.840,,50.9,49.1
50,5:04:37.5 PM,1:52.2,39.2,4.45,7.2,379,580,673,-11.3,49.8,87.3,67.7,-54.8,32.5,9.9,9.7,531,0.778,,50.9,49.1
51,5:04:39.0 PM,1:53.1,36.7,4.42,6.9,374,611,703,-7.9,54.8,92.6,71.8,-58.6,34.0,12.6,8.1,520,0.810,,49.5,50.5
52,5:04:40.6 PM,1:52.9,36.0,4.43,7.2,352,586,687,-9.7,52.6,88.4,70.1,-56.2,32.2,12.3,6.0,509,0.840,,50.5,49.5
53,5:04:42.3 PM,1:51.1,35.7,4.50,7.9,300,503,602,-3.1,62.2,86.2,67.1,-56.7,29.4,14.1,5.0,530,0.899,,53.5,46.5
54,5:04:44.0 PM,1:51.6,37.3,4.48,6.8,354,569,699,-10.4,51.0,87.8,68.9,-55.2,32.6,11.0,7.8,472,0.782,,48.7,51.3
55,5:04:45.6 PM,1:52.8,36.7,4.43,7.2,356,581,670,-6.5,56.4,89.5,65.1,-56.9,32.6,16.5,7.9,495,0.897,,54.9,45.1
56,5:04:47.2 PM,1:53.6,36.7,4.40,7.5,316,518,651,-6.7,54.8,87.1,67.1,-54.5,32.6,12.2,7.8,496,0.779,,47.6,52.4
57,5:04:48.9 PM,1:52.4,36.4,4.45,7.2,354,583,693,-8.2,54.0,86.9,69.5,-55.1,31.8,11.7,5.7,483,0.779,,47.3,52.7
58,5:04:50.5 PM,1:52.6,35.1,4.44,7.9,344,588,682,-10.4,53.5,88.6,72.7,-57.8,30.8,10.6,5.4,494,0.855,,50.0,50.0
59,5:04:52.2 PM,1:52.8,38.4,4.43,7.1,377,588,660,-9.3,52.4,89.9,70.8,-56.4,33.4,10.5,8.5,482,0.796,,51.0,49.0
60,5:04:53.8 PM,1:50.7,37.4,4.52,7.2,379,608,708,-9.1,54.0,89.6,71.3,-57.5,32.1,13.0,5.3,525,0.779,,48.6,51.4
61,5:04:55.4 PM,1:49.5,37.0,4.57,7.6,319,517,662,-6.0,56.8,86.6,64.9,-55.1,31.4,15.4,6.2,507,0.824,,50.8,49.2
62,5:04:57.0 PM,1:49.8,38.8,4.55,6.8,376,580,688,-7.2,54.8,89.3,72.6,-56.2,33.1,11.0,5.6,516,0.809,,52.4,47.6
63,5:04:58.5 PM,1:49.1,37.1,4.58,7.3,346,561,649,-8.9,52.2,89.8,69.8,-55.7,34.0,11.4,8.5,507,0.839,,51.8,48.2
64,5:05:00.2 PM,1:49.1,38.0,4.58,7.3,389,613,697,-9.9,52.9,87.6,70.2,-56.2,31.4,11.1,6.3,500,0.826,,52.3,47.7
65,5:05:01.7 PM,1:49.7,37.4,4.56,7.1,380,611,681,-10.6,50.4,90.7,68.8,-56.3,34.4,12.6,9.3,489,0.827,,51.5,48.5
66,5:05:03.4 PM,1:49.9,37.1,4.55,7.7,393,635,710,-9.7,51.7,90.5,73.2,-56.6,33.9,10.9,6.4,511,0.868,,53.7,46.3
67,5:05:05.0 PM,1:49.4,38.1,4.57,7.2,350,552,670,-10.1,53.8,89.0,69.5,-58.0,31.0,14.0,5.5,520,0.780,,49.5,50.5
68,5:05:06.5 PM,1:48.3,37.0,4.62,7.7,366,593,671,-11.4,50.7,87.7,70.8,-55.9,31.8,10.1,6.8,500,0.826,,51.0,49.0
69,5:05:08.2 PM,1:48.0,36.0,4.63,7.5,351,584,698,-6.1,58.3,87.9,70.2,-57.4,30.6,12.1,5.6,514,0.827,,49.6,50.4
70,5:05:09.8 PM,1:47.7,38.5,4.64,7.1,386,601,682,-9.6,52.2,90.2,72.0,-56.7,33.5,11.6,6.6,515,0.827,,53.0,47.0
71,5:05:11.4 PM,1:47.4,38.1,4.66,7.6,352,554,647,-8.2,53.8,90.1,68.7,-56.7,33.4,13.8,7.6,534,0.779,,49.5,50.5
72,5:05:13.0 PM,1:47.2,37.4,4.67,7.1,384,616,692,-12.4,49.2,89.2,70.6,-56.2,32.9,10.8,7.8,515,0.822,,51.2,48.8
73,5:05:14.6 PM,1:47.7,38.1,4.64,7.1,399,629,722,-12.9,49.6,90.0,71.4,-57.5,32.5,10.4,8.2,498,0.780,,49.5,50.5
74,5:05:16.1 PM,1:48.8,37.4,4.59,7.2,389,625,699,-11.4,50.5,87.4,71.1,-55.6,31.9,11.3,5.1,509,0.811,,50.5,49.5
75,5:05:17.7 PM,1:48.7,37.7,4.60,7.2,309,491,602,-8.4,51.7,90.0,63.4,-54.9,35.1,14.1,12.5,539,0.780,,49.1,50.9
