Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,7,,,,,,,,,,,,,,,,,,,,
Start Time,4:53:02.3 PM,,,,,,,,,,,,,,,,,,,,
End Time,5:04:00.3 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:10:57.9,,,,,,,,,,,,,,,,,,,,
Distance,2839 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
1,4:53:02.3 PM,0:53:09.827000,24.4,0.16,7.5,216,532,572,-13.5,48.3,87.4,61.8,-55.7,31.7,14.3,11.3,954,1.17,,47.5,52.5
2,4:53:04.8 PM,0:46:56.473000,26.3,0.18,8.5,256,584,633,-7.8,56.6,85.4,64,-56.2,29.3,13.4,8.1,693,1.02,,44.8,55.2
3,4:53:07.1 PM,0:17:14.024000,28.6,0.48,9.1,231,485,545,-10,51.1,85.3,56.2,-53.6,31.8,16.9,12.2,684,0.961,,45.7,54.3
4,4:53:09.2 PM,0:02:18.856000,27.6,3.6,9.4,235,512,588,-9.4,55.2,89.1,59.9,-58.6,30.6,19.9,9.3,640,1.066,,49,51
5,4:53:11.3 PM,0:02:06.659000,29.4,3.95,8.8,264,539,615,-9.1,53.2,86.3,60.3,-54.9,31.3,15,11,654,0.961,,47.1,52.9
6,4:53:13.4 PM,0:01:58.742000,27.2,4.21,9,232,512,553,-14.9,47.9,89.3,63,-57.7,31.6,15.5,10.8,678,1.049,,47.6,52.4
7,4:53:15.6 PM,0:01:57.080000,29,4.27,9,255,528,603,-11.4,51,90,62.8,-57.2,32.8,16.7,10.5,620,0.931,,45,55
8,4:53:17.6 PM,0:01:56.579000,27.4,4.29,9.9,255,559,578,-9.1,55,88.2,64.8,-57.6,30.6,14,9.4,667,0.959,,43.8,56.2
9,4:53:19.8 PM,0:01:53.672000,27.6,4.4,10.3,253,551,587,-16.1,46.3,87.9,63.9,-56.7,31.1,14.3,9.7,718,0.945,,43.4,56.6
10,4:53:22.0 PM,0:01:51.736000,26.1,4.47,10.4,234,538,578,-12.7,51.5,87.6,62.4,-57.8,29.8,14.6,10.6,701,1.05,,45.7,54.3
11,4:53:24.3 PM,0:01:50.123000,27,4.54,9.7,207,460,537,-10.7,53.3,85.6,60,-56.3,29.3,15.8,9.8,674,1.019,,45.9,54.1
12,4:53:26.5 PM,0:01:50.776000,26.7,4.51,9.8,209,470,537,-11.1,52.6,87.6,57.9,-57.2,30.4,17.2,12.6,701,1.02,,45.4,54.6
13,4:53:28.8 PM,0:01:52.703000,26.8,4.44,10.2,236,526,572,-13.1,51.4,89.6,63.8,-59.2,30.4,15.2,10.6,638,1.02,,45.6,54.4
14,4:53:31.0 PM,0:01:52.308000,26.5,4.45,10.5,226,512,559,-9.7,54.5,85.5,62.3,-56.3,29.2,13,10.2,685,0.962,,42.4,57.6
15,4:53:33.3 PM,0:01:52.277000,28.4,4.45,9.3,241,509,552,-14.7,48.6,87,60.7,-57,30,15.8,10.5,681,0.962,,45.5,54.5
16,4:53:35.4 PM,0:01:52.266000,26.9,4.45,9.7,226,505,553,-10.7,53.8,84.9,61,-56.4,28.5,14.5,9.5,618,1.019,,45.6,54.4
