Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
1,5:03:10.6 PM,3:00.7,21.9,2.77,8.4,116,318,351,-0.6,61.8,84.3,51.7,-52.7,31.6,17.9,14.6,883,1.186,,43.2,56.8
2,5:03:13.3 PM,2:54.0,24.9,2.87,6.9,223,537,535,-8.8,57.0,83.9,66.0,-56.7,27.3,13.2,4.8,627,1.154,,47.8,52.2
3,5:03:15.7 PM,2:50.0,30.5,2.94,6.4,314,617,669,-9.3,57.3,81.8,63.0,-56.1,25.6,12.0,6.8,525,1.005,,51.1,48.9
4,5:03:17.7 PM,2:43.5,32.5,3.06,7.1,314,579,671,-13.4,50.8,83.4,57.6,-55.7,27.7,18.8,7.0,608,0.945,,51.2,48.8
5,5:03:19.5 PM,2:35.8,34.2,3.21,6.4,380,667,703,-15.9,47.9,83.4,65.3,-55.9,27.5,12.7,5.4,550,0.885,,50.5,49.5
6,5:03:21.3 PM,2:26.9,33.3,3.40,7.6,328,590,676,-14.0,47.9,82.8,58.2,-53.7,29.1,15.8,8.8,575,0.915,,50.8,49.2
7,5:03:23.1 PM,2:16.3,33.3,3.67,7.5,351,633,700,-9.4,55.0,86.7,64.0,-57.1,29.6,15.0,7.6,493,0.916,,50.9,49.1
8,5:03:24.9 PM,2:06.3,34.7,3.96,7.8,344,593,643,-10.4,54.0,85.1,64.0,-56.3,28.8,13.4,7.7,550,0.839,,48.6,51.4
9,5:03:26.6 PM,1:59.9,34.0,4.17,8.0,352,623,670,-12.0,52.1,84.5,64.3,-56.0,28.5,13.6,6.6,541,0.855,,48.4,51.6
10,5:03:28.4 PM,1:53.4,33.9,4.41,8.8,349,617,679,-9.7,54.8,84.6,65.0,-56.1,28.6,14.3,5.3,587,0.930,,52.5,47.5
11,5:03:30.2 PM,1:48.9,34.2,4.59,8.6,358,629,703,-8.7,56.9,84.8,63.2,-56.9,27.8,14.3,7.3,569,0.916,,52.2,47.8
12,5:03:31.9 PM,1:47.9,36.1,4.64,7.0,360,599,678,-14.1,50.5,84.8,63.4,-56.9,27.8,14.8,6.5,539,0.825,,49.6,50.4
13,5:03:33.6 PM,1:47.4,35.7,4.65,7.8,362,607,693,-14.6,50.1,82.8,63.1,-56.0,26.8,13.3,6.3,514,0.825,,49.1,50.9
14,5:03:35.3 PM,1:46.0,36.3,4.72,8.3,320,528,659,-13.0,48.6,81.6,57.9,-52.7,28.9,15.4,8.4,514,0.841,,50.9,49.1
15,5:03:36.9 PM,1:46.4,36.4,4.70,7.3,334,551,665,-15.9,47.9,82.7,58.9,-55.6,27.1,14.8,9.0,533,0.823,,49.9,50.1
16,5:03:38.6 PM,1:48.5,37.0,4.61,7.2,293,475,650,-5.6,59.7,79.4,54.5,-52.9,26.4,16.6,8.2,535,0.825,,50.9,49.1
17,5:03:40.2 PM,1:49.8,38.1,4.55,6.9,324,510,671,-11.3,52.7,80.7,54.5,-53.8,26.9,18.1,8.1,503,0.826,,52.4,47.6
18,5:03:41.8 PM,1:50.0,36.1,4.55,7.2,346,576,697,-13.7,50.7,80.8,59.0,-54.7,26.1,14.5,7.3,488,0.840,,50.5,49.5
19,5:03:43.4 PM,1:50.6,36.7,4.52,7.8,324,530,688,-12.4,50.7,79.5,55.0,-52.7,26.8,16.4,8.1,507,0.840,,51.4,48.6
20,5:03:45.1 PM,1:51.9,36.7,4.47,7.1,320,523,632,-14.9,48.0,80.6,56.5,-53.6,27.0,16.5,7.6,527,0.855,,52.3,47.7
21,5:03:46.7 PM,1:52.0,37.4,4.46,7.2,352,565,702,-12.6,52.7,81.1,58.9,-55.3,25.8,16.2,5.9,509,0.824,,51.3,48.7
22,5:03:48.3 PM,1:52.3,36.7,4.45,7.5,340,556,677,-12.9,51.7,80.0,58.4,-54.3,25.7,14.7,7.0,525,0.841,,51.4,48.6
23,5:03:49.9 PM,1:50.5,36.1,4.53,7.7,304,506,645,-13.6,49.9,80.6,55.3,-53.9,26.8,17.2,8.1,537,0.840,,50.5,49.5
24,5:03:51.6 PM,1:49.4,36.7,4.57,7.4,313,512,709,-14.1,48.6,79.1,54.5,-52.6,26.6,16.5,8.2,529,0.779,,47.6,52.4
25,5:03:53.2 PM,1:50.8,36.0,4.51,7.7,336,560,692,-15.3,47.1,80.9,58.3,-53.4,27.5,15.0,7.6,501,0.798,,47.9,52.1
26,5:03:54.9 PM,1:49.5,35.7,4.56,7.7,321,539,676,-14.1,49.7,81.4,57.9,-54.6,26.8,14.7,8.8,522,0.840,,50.0,50.0
27,5:03:56.6 PM,1:49.4,37.4,4.57,7.7,335,538,690,-12.6,51.9,80.6,56.5,-54.5,26.1,15.5,8.6,481,0.781,,48.7,51.3
28,5:03:58.2 PM,1:47.9,35.7,4.63,8.2,323,542,668,-20.2,43.6,80.7,58.5,-55.4,25.3,13.5,8.7,515,0.825,,49.1,50.9
29,5:03:59.9 PM,1:47.0,36.4,4.67,7.8,355,585,639,-18.6,45.8,82.8,60.9,-56.5,26.3,13.8,8.0,515,0.930,,56.4,43.6
30,5:04:01.5 PM,1:45.2,37.1,4.76,8.2,323,522,687,-13.0,50.7,80.6,58.2,-53.8,26.8,15.2,7.2,551,0.780,,48.2,51.8
