Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
1,4:58:59.1 PM,22:28.6,41.6,0.37,5.6,352,507,731,-17.9,41.7,78.6,52.4,-50.7,27.9,12.2,14.0,433,0.719,,49.9,50.1
2,4:59:00.5 PM,19:04.1,43.0,0.44,6.5,386,538,730,-18.2,37.2,77.2,50.6,-46.9,30.3,10.9,15.7,395,0.721,,51.6,48.4
3,4:59:01.9 PM,15:42.1,43.5,0.53,6.7,345,476,632,-17.4,37.3,78.8,51.7,-46.8,31.9,10.1,17.0,423,0.720,,52.2,47.8
4,4:59:03.3 PM,13:03.8,41.7,0.64,7.4,339,487,718,-18.7,39.3,77.8,51.8,-49.2,28.6,11.4,14.6,421,0.734,,51.0,49.0
5,4:59:04.7 PM,1:49.4,44.4,4.57,7.1,303,410,705,-14.9,47.8,80.9,47.7,-53.6,27.3,16.6,16.6,437,0.646,,47.8,52.2
6,4:59:06.1 PM,1:45.7,41.6,4.73,6.5,316,456,648,-12.7,46.9,76.2,48.7,-48.5,27.7,13.5,14.0,484,0.781,,54.2,45.8
7,4:59:07.5 PM,1:43.7,43.1,4.82,6.8,343,477,645,-16.6,41.2,75.8,53.2,-47.9,27.9,10.6,12.0,452,0.733,,52.7,47.3
8,4:59:08.9 PM,1:41.1,41.6,4.95,6.6,307,442,704,-15.9,43.7,76.9,50.2,-49.6,27.4,12.9,13.9,411,0.675,,46.8,53.2
9,4:59:10.3 PM,1:41.1,43.5,4.95,6.6,365,504,738,-19.4,39.5,77.6,54.8,-50.0,27.6,9.8,13.0,416,0.735,,53.3,46.7
10,4:59:11.7 PM,1:40.1,40.4,5.00,7.8,370,550,764,-20.2,38.5,82.4,54.7,-51.9,30.5,12.0,15.6,438,0.719,,48.4,51.6
11,4:59:13.2 PM,1:41.9,39.2,4.91,7.7,315,482,652,-21.8,36.5,81.9,54.8,-51.7,30.2,11.6,15.4,472,0.794,,51.9,48.1
12,4:59:14.7 PM,1:41.4,35.1,4.93,8.3,318,544,662,-23.9,36.5,86.8,57.4,-55.6,31.2,11.9,17.5,486,0.840,,49.1,50.9
13,4:59:16.5 PM,1:41.0,35.7,4.95,7.9,288,485,598,-14.2,46.9,84.7,55.2,-53.9,30.8,12.2,17.3,520,0.869,,51.7,48.3
14,4:59:18.1 PM,1:41.1,33.9,4.94,8.5,254,450,600,-16.1,42.6,81.1,49.4,-50.7,30.4,13.2,18.5,621,0.856,,48.3,51.7
15,4:59:19.9 PM,1:42.8,34.8,4.87,7.2,273,471,612,-15.7,45.2,85.5,54.2,-54.3,31.2,14.2,17.1,544,0.855,,49.6,50.4
16,4:59:21.6 PM,1:46.7,33.6,4.68,7.6,261,466,567,-18.4,43.4,91.4,54.8,-58.1,33.3,17.2,19.4,538,0.841,,47.1,52.9
17,4:59:23.4 PM,1:49.6,33.1,4.56,8.4,252,457,566,-16.6,42.4,86.7,56.6,-53.3,33.4,11.7,18.4,550,0.840,,46.3,53.7
18,4:59:25.2 PM,1:50.1,33.0,4.54,8.9,245,446,566,-15.4,45.0,84.6,52.3,-53.4,31.2,13.0,19.2,572,0.931,,51.3,48.7
19,4:59:27.0 PM,1:49.2,34.5,4.58,8.2,283,492,606,-18.2,42.8,86.7,57.0,-55.3,31.4,11.5,18.1,534,0.809,,46.5,53.5
20,4:59:28.8 PM,1:49.0,33.3,4.59,8.4,278,500,612,-25.2,36.3,86.1,54.0,-56.4,29.6,14.8,17.3,514,0.856,,47.5,52.5
21,4:59:30.6 PM,1:46.8,35.7,4.68,7.9,236,397,511,-13.9,45.0,82.9,47.6,-51.2,31.7,14.0,21.3,517,0.855,,50.9,49.1
22,4:59:32.3 PM,1:44.5,34.5,4.78,8.4,243,423,558,-17.7,41.1,83.4,51.1,-51.9,31.4,13.6,18.7,571,0.794,,45.7,54.3
23,4:59:34.0 PM,1:45.7,34.1,4.73,7.9,173,304,429,-10.4,48.7,83.4,41.5,-51.0,32.4,18.3,23.6,562,0.916,,52.1,47.9
24,4:59:35.8 PM,1:47.8,33.7,4.64,7.5,309,552,638,-12.4,49.6,85.6,57.7,-54.9,30.8,12.6,15.3,521,0.899,,50.4,49.6
25,4:59:37.5 PM,1:48.3,34.8,4.62,8.1,218,376,475,-8.2,49.9,82.6,46.8,-49.5,33.1,14.9,20.9,544,0.961,,55.7,44.3
26,4:59:39.3 PM,1:48.5,34.5,4.61,8.5,302,526,663,-24.9,34.7,88.3,58.7,-55.6,32.8,11.5,18.2,477,0.840,,48.3,51.7
27,4:59:41.0 PM,1:48.5,35.1,4.61,8.0,291,497,619,-17.3,42.7,86.1,52.0,-54.1,32.0,13.9,20.2,523,0.809,,47.3,52.7
28,4:59:42.7 PM,1:48.0,33.9,4.63,8.0,236,418,550,-8.2,53.2,87.0,49.6,-54.6,32.4,16.6,20.8,526,0.841,,47.5,52.5
29,4:59:44.5 PM,1:48.8,34.2,4.60,7.7,251,440,571,-10.8,49.8,86.3,52.9,-53.8,32.5,14.1,19.3,547,0.855,,48.7,51.3
30,4:59:46.2 PM,1:48.3,33.6,4.62,8.5,286,511,639,-12.7,47.7,85.3,54.6,-53.3,31.9,12.8,17.9,554,0.900,,50.4,49.6
31,4:59:48.0 PM,1:47.7,35.1,4.64,7.9,309,529,646,-23.3,35.2,84.8,54.4,-53.1,31.6,11.7,18.6,536,0.841,,49.2,50.8
32,4:59:49.7 PM,1:48.7,33.9,4.60,8.2,272,481,617,-10.1,49.5,85.8,52.9,-52.6,33.2,12.8,20.2,543,0.900,,50.8,49.2
33,4:59:51.5 PM,1:49.5,34.2,4.56,7.8,282,495,598,-25.6,33.4,86.4,53.3,-54.5,31.9,12.1,20.9,530,0.855,,48.7,51.3
34,4:59:53.3 PM,1:47.9,34.2,4.63,8.3,236,415,543,-10.2,50.1,81.4,50.9,-51.0,30.4,12.2,18.2,572,0.855,,48.7,51.3
35,4:59:55.0 PM,1:47.3,33.9,4.66,8.2,221,392,526,-9.7,49.3,83.4,49.7,-50.8,32.6,13.5,20.2,612,0.946,,53.4,46.6
36,4:59:56.8 PM,1:48.7,33.1,4.60,8.1,235,426,552,-10.0,49.1,84.7,52.1,-51.6,33.1,14.0,18.5,519,0.855,,47.1,52.9
37,4:59:58.6 PM,1:51.0,34.2,4.51,7.5,294,515,618,-10.2,51.6,86.2,55.7,-54.7,31.4,13.0,17.5,506,0.838,,47.8,52.2
38,5:00:00.4 PM,1:52.0,33.6,4.46,7.6,226,403,521,-10.3,48.2,83.6,49.2,-50.6,32.9,14.1,20.2,585,0.840,,47.1,52.9
39,5:00:02.1 PM,1:52.1,32.5,4.46,9.0,263,484,613,-13.3,46.6,85.3,54.4,-53.1,32.3,12.1,18.8,520,0.899,,48.7,51.3
40,5:00:04.0 PM,1:51.6,34.5,4.48,8.3,239,416,587,-15.6,42.6,82.3,48.0,-50.6,31.7,13.1,21.2,557,0.809,,46.5,53.5
41,5:00:05.7 PM,1:52.1,33.1,4.46,7.7,248,451,612,-19.4,38.6,83.3,49.5,-51.6,31.7,14.1,19.7,523,0.899,,49.5,50.5
42,5:00:07.5 PM,1:53.2,33.6,4.42,7.1,250,447,595,-13.5,46.7,85.7,50.7,-53.5,32.2,13.0,22.0,514,0.840,,47.1,52.9
43,5:00:09.3 PM,1:53.3,33.3,4.41,8.4,242,436,578,-12.4,46.9,83.8,49.8,-51.6,32.1,12.9,21.0,556,0.900,,50.0,50.0
44,5:00:11.1 PM,1:52.2,34.2,4.46,8.5,255,448,568,-12.7,48.4,85.4,52.1,-54.0,31.4,12.7,20.6,521,0.840,,47.9,52.1
45,5:00:12.9 PM,1:52.5,33.6,4.45,8.3,220,393,497,-14.1,46.8,86.4,50.1,-54.6,31.8,14.0,22.3,536,0.872,,48.8,51.2
