Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
36,4:59:53.3 PM,1:47.0,34.2,4.67,8.3,315,553,606,-13.0,53.3,87.2,60.4,-59.4,27.8,17.4,9.4,554,0.960,,54.7,45.3
37,4:59:55.1 PM,1:47.3,34.2,4.66,8.0,302,530,630,-11.1,53.7,83.3,57.7,-55.7,27.5,15.3,10.3,563,0.856,,48.7,51.3
38,4:59:56.8 PM,1:48.4,33.6,4.61,8.1,297,529,580,-11.6,53.7,82.7,60.0,-55.9,26.8,14.1,8.6,551,0.885,,49.6,50.4
39,4:59:58.6 PM,1:50.3,33.6,4.53,7.7,280,500,596,-11.6,51.6,83.4,57.7,-54.6,28.8,15.3,10.4,582,0.886,,49.6,50.4
40,5:00:00.4 PM,1:50.9,32.8,4.51,8.1,303,555,625,-11.2,54.0,86.4,62.6,-57.8,28.6,14.4,9.4,518,0.916,,50.1,49.9
41,5:00:02.2 PM,1:51.0,33.6,4.50,8.1,295,526,633,-9.7,55.0,83.6,58.8,-55.7,27.9,16.0,8.9,552,0.856,,48.0,52.0
42,5:00:04.0 PM,1:52.0,33.3,4.46,8.0,294,529,587,-8.2,57.2,84.5,59.1,-56.6,27.9,16.1,9.3,535,0.898,,49.9,50.1
43,5:00:05.8 PM,1:52.9,34.2,4.43,7.9,289,507,606,-5.8,60.6,82.4,56.7,-55.7,26.7,16.2,9.5,550,0.869,,49.5,50.5
44,5:00:07.6 PM,1:51.7,33.6,4.48,7.8,294,525,655,-15.1,48.2,82.8,58.5,-55.0,27.8,15.2,9.1,545,0.899,,50.4,49.6
45,5:00:09.3 PM,1:50.9,34.4,4.51,8.5,311,542,614,-14.4,49.6,84.6,62.9,-56.4,28.2,13.8,7.9,563,0.856,,49.1,50.9
46,5:00:11.1 PM,1:50.0,33.1,4.55,8.2,247,448,577,-14.7,47.3,80.9,53.4,-53.1,27.9,18.1,9.4,576,0.857,,47.2,52.8
47,5:00:12.9 PM,1:49.5,34.5,4.57,7.8,311,542,624,-15.5,50.2,84.9,58.0,-58.1,26.8,19.2,7.7,551,0.901,,51.8,48.2
48,5:00:14.6 PM,1:49.9,33.7,4.55,7.9,309,551,626,-11.0,54.6,84.1,59.9,-56.9,27.2,14.6,9.6,539,0.883,,49.6,50.4
49,5:00:16.4 PM,1:49.7,33.9,4.56,8.2,308,545,661,-11.4,53.1,82.9,58.8,-55.5,27.4,15.6,8.5,573,0.869,,49.1,50.9
50,5:00:18.2 PM,1:49.3,33.3,4.57,8.6,320,577,617,-15.6,49.4,85.1,64.0,-57.6,27.4,12.7,8.3,557,0.900,,50.0,50.0
51,5:00:20.0 PM,1:49.6,32.8,4.56,8.2,262,480,582,-14.0,47.0,79.7,53.6,-51.4,28.3,15.3,10.8,605,0.870,,47.5,52.5
52,5:00:21.8 PM,1:50.6,32.8,4.52,7.8,251,459,576,-14.2,49.6,82.9,56.5,-55.4,27.5,18.0,8.4,541,0.974,,53.3,46.7
53,5:00:23.7 PM,1:50.9,33.6,4.51,7.7,279,498,592,-7.5,56.0,81.3,56.2,-53.0,28.3,15.5,9.6,558,0.899,,50.4,49.6
54,5:00:25.4 PM,1:53.5,34.1,4.41,7.3,262,460,545,-10.7,52.9,86.6,56.9,-56.6,30.0,17.1,12.6,487,0.778,,44.3,55.7
55,5:00:27.2 PM,1:55.3,32.5,4.34,8.3,255,471,547,-14.6,48.0,82.6,57.0,-54.2,28.4,15.9,9.6,556,0.841,,45.6,54.4
56,5:00:29.0 PM,1:56.0,33.3,4.31,7.8,275,496,604,-16.7,47.6,82.0,57.8,-55.7,26.3,16.5,7.7,522,0.903,,50.1,49.9
