Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
1,5:03:10.7 PM,3:03.2,21.4,2.73,7.9,98,276,333,-21.9,38.9,86.2,47.6,-55.4,30.8,14.4,24.2,691,1.366,,48.7,51.3
2,5:03:13.5 PM,2:57.8,25.7,2.81,6.9,218,511,568,-6.9,56.3,88.7,58.1,-56.9,31.8,11.7,18.9,699,1.200,,51.3,48.7
3,5:03:15.8 PM,2:52.5,31.3,2.90,6.8,318,611,640,-12.9,47.9,89.3,59.8,-55.7,33.6,10.7,18.8,521,1.005,,52.3,47.7
4,5:03:17.7 PM,2:43.3,33.9,3.06,6.8,275,488,572,-11.7,49.5,86.6,56.2,-54.6,32.1,11.3,19.1,538,0.857,,48.4,51.6
5,5:03:19.5 PM,2:30.5,32.8,3.32,7.6,257,470,592,-17.9,45.1,91.5,52.2,-59.2,32.3,16.6,22.7,572,0.902,,49.3,50.7
6,5:03:21.3 PM,2:17.9,32.8,3.63,8.2,280,513,608,-14.7,47.3,86.1,54.4,-55.4,30.7,12.3,19.3,507,0.975,,53.3,46.7
7,5:03:23.2 PM,2:07.9,35.7,3.91,7.4,283,476,594,-14.2,46.7,86.7,53.6,-54.7,32.0,12.6,20.5,515,0.811,,48.2,51.8
8,5:03:24.8 PM,1:59.6,33.4,4.18,7.9,254,456,610,-16.4,46.5,89.3,51.2,-57.9,31.4,15.6,22.5,566,0.841,,46.7,53.3
9,5:03:26.6 PM,1:54.6,34.7,4.36,7.7,275,475,585,-17.2,43.0,85.0,52.4,-53.8,31.2,11.0,21.6,513,0.887,,51.4,48.6
10,5:03:28.4 PM,1:51.9,34.3,4.47,8.0,276,484,592,-17.9,42.2,85.8,51.6,-54.1,31.8,12.7,21.5,531,0.867,,49.5,50.5
11,5:03:30.1 PM,1:50.5,34.4,4.52,8.2,286,498,629,-28.7,30.0,83.9,53.1,-53.9,29.9,12.1,18.7,540,0.807,,46.3,53.7
12,5:03:31.9 PM,1:50.9,34.4,4.51,7.7,253,441,558,-13.2,47.7,83.8,50.7,-53.2,30.6,12.6,20.4,517,0.857,,49.2,50.8
13,5:03:33.6 PM,1:51.9,36.4,4.47,7.3,277,457,587,-16.6,42.7,84.4,52.9,-52.6,31.8,12.5,19.0,541,0.826,,50.1,49.9
14,5:03:35.3 PM,1:50.5,36.7,4.52,8.2,348,569,686,-25.3,36.3,86.1,54.8,-56.6,29.6,13.1,18.1,454,0.838,,51.3,48.7
15,5:03:36.9 PM,1:50.1,37.0,4.54,7.1,225,365,501,-8.5,52.2,85.9,47.2,-53.4,32.6,18.5,20.2,495,0.825,,50.9,49.1
16,5:03:38.5 PM,1:50.2,36.1,4.54,8.0,295,491,621,-13.2,47.8,84.5,52.6,-53.6,30.9,12.8,19.1,470,0.839,,50.4,49.6
17,5:03:40.2 PM,1:49.6,37.7,4.56,7.1,312,496,644,-24.1,34.4,82.7,53.2,-52.5,30.2,10.5,19.0,455,0.809,,50.9,49.1
