Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
36,4:59:53.2 PM,1:46.9,34.5,4.68,8.3,326,567,726,-19.0,42.5,79.5,56.0,-52.8,26.7,13.9,9.6,487,0.871,,50.1,49.9
37,4:59:55.0 PM,1:46.5,35.4,4.69,8.2,339,575,692,-10.9,52.9,78.6,56.4,-52.6,26.1,13.4,8.8,545,0.826,,48.7,51.3
38,4:59:56.7 PM,1:47.2,31.5,4.66,8.5,282,536,649,-17.6,41.2,75.6,54.6,-48.8,26.8,11.1,9.9,647,0.931,,48.9,51.1
39,4:59:58.6 PM,1:48.8,34.2,4.60,7.3,273,479,631,-15.2,45.6,76.1,53.6,-50.0,26.1,14.3,8.3,634,0.854,,48.7,51.3
40,5:00:00.3 PM,1:50.0,33.1,4.54,8.1,301,547,660,-11.4,51.9,79.3,58.4,-52.6,26.8,13.0,7.9,536,0.929,,51.2,48.8
41,5:00:02.1 PM,1:50.6,35.1,4.52,8.2,320,547,704,-19.9,40.9,76.9,56.9,-51.4,25.5,12.0,7.9,464,0.825,,48.2,51.8
42,5:00:03.9 PM,1:51.3,32.3,4.49,8.5,300,558,723,-20.7,40.7,77.7,55.4,-52.4,25.3,13.1,9.3,465,0.946,,50.9,49.1
43,5:00:05.7 PM,1:51.6,34.2,4.48,8.1,297,520,678,-20.4,39.3,77.9,53.8,-51.1,26.9,12.2,12.0,551,0.915,,52.2,47.8
44,5:00:07.5 PM,1:49.8,33.3,4.55,7.9,285,514,667,-15.2,47.3,80.7,54.2,-53.4,27.3,16.8,9.7,597,0.764,,42.4,57.6
45,5:00:09.3 PM,1:49.6,33.3,4.56,7.8,291,524,671,-15.1,46.7,76.4,55.0,-50.8,25.6,14.1,7.3,695,0.915,,50.8,49.2
46,5:00:11.1 PM,1:51.0,34.2,4.51,8.0,285,500,668,-12.8,51.1,80.1,51.4,-53.7,26.4,19.7,9.1,630,0.779,,44.4,55.6
47,5:00:12.8 PM,1:50.8,33.9,4.51,8.4,301,532,690,-13.4,50.8,81.8,54.1,-54.9,26.8,18.0,9.7,601,0.780,,44.0,56.0
48,5:00:14.6 PM,1:50.5,33.1,4.52,8.0,285,518,628,-20.9,40.0,79.9,55.8,-52.8,27.1,14.3,9.7,503,0.945,,52.1,47.9
49,5:00:16.4 PM,1:52.3,34.5,4.45,7.7,297,517,673,-15.9,45.8,76.9,54.3,-51.1,25.8,12.4,10.3,585,0.781,,44.9,55.1
50,5:00:18.2 PM,1:51.6,33.1,4.48,8.3,291,528,622,-18.9,42.6,78.7,58.3,-52.4,26.3,12.7,7.8,509,0.915,,50.4,49.6
51,5:00:20.0 PM,1:50.8,32.8,4.51,8.1,264,483,606,-17.6,42.7,77.6,54.1,-50.7,26.9,15.1,8.4,630,0.825,,45.1,54.9
52,5:00:21.8 PM,1:52.2,34.2,4.46,7.6,259,455,590,-14.8,46.0,75.9,53.4,-49.7,26.2,14.2,8.3,468,0.855,,48.7,51.3
53,5:00:23.6 PM,1:54.2,33.6,4.38,7.3,273,487,629,-20.6,40.2,77.2,54.0,-51.6,25.6,13.5,9.7,469,0.886,,49.6,50.4
54,5:00:25.3 PM,1:54.8,32.3,4.36,8.2,273,507,658,-15.9,47.3,78.6,50.7,-53.1,25.5,17.2,10.7,411,0.927,,49.9,50.1
55,5:00:27.2 PM,1:54.7,33.3,4.36,8.0,303,547,680,-23.6,36.6,78.8,56.1,-52.4,26.4,13.2,9.4,516,0.962,,53.4,46.6
56,5:00:29.0 PM,1:55.2,34.2,4.34,7.8,308,540,675,-19.2,42.7,78.3,54.9,-52.6,25.7,14.3,9.0,427,0.946,,54.0,46.0
57,5:00:30.8 PM,1:55.9,33.1,4.31,7.8,299,543,653,-20.4,39.8,77.4,54.9,-51.2,26.2,11.9,10.6,415,0.915,,50.4,49.6
58,5:00:32.6 PM,1:55.0,33.9,4.35,7.6,284,502,632,-19.5,41.7,77.5,55.4,-51.8,25.7,12.7,9.4,618,0.883,,49.9,50.1
59,5:00:34.3 PM,1:54.2,31.7,4.38,8.2,279,528,632,-18.9,42.1,77.3,56.3,-51.4,25.8,11.9,9.0,467,0.930,,49.2,50.8
60,5:00:36.2 PM,1:55.5,33.4,4.33,7.5,279,502,639,-14.5,48.9,79.6,52.7,-53.4,26.1,15.9,10.9,647,0.870,,48.4,51.6
61,5:00:38.0 PM,1:56.2,31.7,4.30,8.5,270,512,620,-17.2,46.5,80.8,54.7,-54.7,26.0,16.2,9.8,607,0.946,,50.0,50.0
62,5:00:39.9 PM,1:55.2,32.3,4.34,8.2,265,492,589,-17.1,44.2,78.6,54.0,-51.9,26.8,13.4,11.3,708,0.959,,51.6,48.4
63,5:00:41.8 PM,1:54.4,33.3,4.37,8.0,260,469,588,-17.4,44.0,79.1,54.0,-52.2,26.9,14.9,10.2,636,0.811,,45.0,55.0
64,5:00:43.6 PM,1:53.9,33.4,4.39,8.4,278,500,623,-16.3,45.2,78.9,55.1,-52.0,26.9,14.8,9.0,552,0.779,,43.3,56.7
65,5:00:45.4 PM,1:52.9,32.3,4.43,8.3,241,449,566,-17.4,44.9,80.0,53.0,-53.4,26.6,17.0,9.9,650,0.811,,43.6,56.4
66,5:00:47.2 PM,1:52.0,33.0,4.47,8.1,259,470,610,-12.7,48.5,77.0,53.6,-50.1,26.9,14.4,9.0,645,0.797,,43.9,56.1
67,5:00:49.1 PM,1:50.7,32.6,4.52,8.9,284,523,670,-15.1,48.1,78.4,55.1,-52.7,25.6,13.9,9.3,645,0.959,,52.0,48.0
68,5:00:50.9 PM,1:50.9,33.9,4.51,7.7,295,522,659,-16.2,45.4,78.3,55.2,-51.7,26.6,14.0,9.1,540,0.796,,44.9,55.1
69,5:00:52.7 PM,1:52.5,31.8,4.45,8.1,246,464,600,-17.4,42.9,77.6,53.4,-50.7,26.9,13.0,11.1,572,0.809,,42.8,57.2
70,5:00:54.6 PM,1:55.0,33.1,4.35,7.4,280,507,612,-18.5,43.2,77.2,54.8,-51.9,25.3,12.3,10.2,550,0.943,,52.0,48.0
71,5:00:56.4 PM,1:55.6,32.5,4.32,8.4,250,461,583,-16.6,43.7,75.4,51.8,-49.6,25.9,13.4,10.3,499,0.839,,45.5,54.5
72,5:00:58.2 PM,1:55.4,33.1,4.33,8.3,241,438,593,-16.0,45.2,76.7,48.4,-50.6,26.1,15.0,13.3,478,0.945,,52.1,47.9
73,5:01:00.0 PM,1:54.1,32.5,4.38,8.9,236,436,533,-16.8,46.0,77.5,51.2,-52.4,25.1,14.4,11.9,478,0.959,,51.9,48.1
74,5:01:01.9 PM,1:54.7,34.5,4.36,7.0,260,452,622,-16.6,45.9,78.0,49.1,-52.4,25.6,17.8,11.1,653,0.751,,43.2,56.8
75,5:01:03.6 PM,1:54.6,31.8,4.36,7.5,254,479,627,-16.6,45.0,77.4,52.9,-51.4,26.1,14.0,10.5,551,0.958,,50.7,49.3
76,5:01:05.5 PM,1:55.9,32.5,4.31,7.7,263,486,597,-21.2,39.8,78.2,53.7,-52.3,25.9,13.9,10.5,546,0.915,,49.6,50.4
77,5:01:07.4 PM,1:59.3,33.4,4.19,7.4,212,382,513,-14.1,45.2,74.3,48.4,-47.7,26.6,13.6,12.2,655,0.795,,44.2,55.8
