Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,7,,,,,,,,,,,,,,,,,,,,
Start Time,4:53:02.4 PM,,,,,,,,,,,,,,,,,,,,
End Time,5:04:00.3 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:10:57.8,,,,,,,,,,,,,,,,,,,,
Distance,2839 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
1,4:53:02.4 PM,0:51:27.014000,24.7,0.16,8.8,228,554,549,-8.5,54.1,89,66.2,-56.6,32.4,9.6,13.2,673,1.155,,47.5,52.5
2,4:53:04.8 PM,0:45:25.609000,26.7,0.18,8.8,203,456,529,-20.4,39.4,89,57.2,-55.5,33.5,15.2,16.7,731,1.019,,45.3,54.7
3,4:53:07.1 PM,0:33:36.599000,28.2,0.25,9.1,221,470,535,-22.6,39,90.1,58.4,-57.7,32.3,13.6,18,605,0.99,,46.5,53.5
4,4:53:09.2 PM,0:02:15.115000,28.8,3.7,8.4,249,519,540,-15.4,45.5,89.4,60.6,-56.1,33.4,13.2,15.6,650,0.96,,46,54
5,4:53:11.3 PM,0:02:04.684000,27.6,4.01,9.2,233,508,538,-22.6,37.2,91.4,61.1,-56.6,34.8,13.6,16.8,670,0.99,,45.5,54.5
6,4:53:13.5 PM,0:01:58.287000,28.2,4.23,9.8,210,447,509,-22.2,37.4,89.4,56.2,-55.6,33.8,13.7,19.5,679,0.945,,44.4,55.6
7,4:53:15.6 PM,0:01:56.466000,28.2,4.29,9.3,192,408,488,-18.5,41.1,89.4,53.7,-55.2,34.1,13.3,22.4,685,0.91,,42.7,57.3
8,4:53:17.7 PM,0:01:55.399000,28,4.33,9.4,193,414,473,-15.9,42.7,89.3,56.9,-54,35.3,13,19.4,634,1.034,,48.2,51.8
9,4:53:19.9 PM,0:01:52.654000,27,4.44,10.6,189,420,457,-18.6,40.6,89.6,55.9,-54.9,34.6,14.9,18.8,640,1.021,,46,54
10,4:53:22.1 PM,0:01:51.341000,27,4.49,10.1,186,413,460,-19.3,39.5,89.9,55.9,-54.9,35.1,14.3,19.7,746,0.974,,43.9,56.1
