Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,8,,,,,,,,,,,,,,,,,,,,
Start Time,5:09:18.5 PM,,,,,,,,,,,,,,,,,,,,
End Time,5:21:17.5 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:11:59.0,,,,,,,,,,,,,,,,,,,,
Distance,3004 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
32,5:10:21.0 PM,0:01:53.683000,29.6,4.4,9,163,330,394,-9.6,49.6,87.1,51.6,-52.8,34.3,15.8,19.7,653,0.929,,45.9,54.1
33,5:10:23.1 PM,0:01:53.797000,30.1,4.39,8.9,205,409,469,-19.4,39.5,88.5,55,-54.4,34.1,12.5,21,616,0.974,,48.8,51.2
34,5:10:25.1 PM,0:01:53.524000,30.1,4.4,8.5,164,326,425,-16.7,43.8,87.6,45.4,-55.1,32.6,18.2,24,601,1.078,,54.1,45.9
35,5:10:27.1 PM,0:01:53.223000,29.4,4.42,8.7,212,432,505,-16.2,43.3,89,56.7,-54.8,34.2,13.7,18.6,636,0.99,,48.5,51.5
36,5:10:29.1 PM,0:01:54.198000,29.6,4.38,8.9,211,428,497,-21.3,37.8,88.9,54.7,-54.9,33.9,13.3,20.9,666,0.915,,45.2,54.8
37,5:10:31.1 PM,0:01:55.545000,29.4,4.33,8.2,226,461,522,-22.1,38,89.1,59.2,-55.9,33.2,12.5,17.4,625,0.959,,47,53
38,5:10:33.2 PM,0:01:58.250000,30.1,4.23,8.2,184,368,448,-19.6,39.4,87.5,51.7,-54,33.5,15,20.7,647,0.913,,45.8,54.2
39,5:10:35.2 PM,0:01:59.030000,29.4,4.2,8.6,205,418,478,-21.2,38.7,89.6,55.8,-55.8,33.8,14.8,19,619,0.99,,48.5,51.5
40,5:10:37.2 PM,0:01:58.458000,29.8,4.22,8.7,193,388,461,-14.7,45.2,90.1,54.5,-55.5,34.6,15.1,20.5,620,1.068,,53.1,46.9
41,5:10:39.2 PM,0:02:00.487000,29.2,4.15,8.3,208,427,474,-17.4,43.4,89.5,58.3,-56.2,33.3,12.4,18.8,598,0.976,,47.5,52.5
42,5:10:41.3 PM,0:01:59.198000,30.3,4.19,8.3,205,406,456,-16.9,44,89.3,55.4,-56.2,33.1,14.3,19.5,614,0.913,,46.2,53.8
43,5:10:43.2 PM,0:01:58.668000,29.4,4.21,8.7,202,413,467,-21.1,38,88.3,55.7,-54.6,33.7,13.3,19.3,653,0.913,,44.8,55.2
44,5:10:45.3 PM,0:01:58.772000,30.1,4.21,8.2,204,407,462,-16.3,43.1,86.9,56.3,-53.8,33.1,12,18.7,614,1.019,,51.1,48.9
45,5:10:47.3 PM,0:02:00.600000,29.6,4.15,8.3,199,403,460,-16.6,42.8,88.4,56.1,-54.4,34,12,20.3,627,0.958,,47.3,52.7
46,5:10:49.3 PM,0:01:59.816000,30.1,4.17,8.1,176,351,429,-17.8,42.2,87.6,49.9,-54.7,32.8,16.8,20.9,606,0.915,,45.9,54.1
47,5:10:51.3 PM,0:02:00.844000,29.4,4.14,8.6,221,450,478,-17.6,42.4,90.1,63.4,-55.8,34.3,11.9,14.7,643,0.958,,47,53
48,5:10:53.3 PM,0:02:01.637000,29.4,4.11,8.2,226,461,484,-11.2,48.9,89.3,57.6,-54.9,34.4,14.1,17.6,658,0.975,,47.7,52.3
49,5:10:55.4 PM,0:02:01.526000,29.4,4.11,8.4,221,450,493,-21.1,37.5,89.6,59,-54.7,34.9,11.7,18.8,649,1.019,,50,50
50,5:10:57.4 PM,0:02:02.052000,29,4.1,8.3,209,432,490,-13.8,46.6,89.4,55,-55.5,33.9,12.9,21.5,614,1.004,,48.5,51.5
51,5:10:59.5 PM,0:02:02.291000,29.4,4.09,8.6,205,419,480,-19.1,40.1,88.6,55.2,-54.6,34,13.5,19.9,685,0.944,,46.3,53.7
52,5:11:01.5 PM,0:02:02.926000,29.4,4.07,8.1,161,329,401,-13.9,43.8,87,50,-52.1,34.9,14,23,694,0.992,,48.6,51.4
53,5:11:03.6 PM,0:02:02.747000,29,4.07,8.4,177,366,433,-20.6,39.2,89.5,52.2,-55.6,33.9,15.3,22,664,0.972,,47,53
54,5:11:05.6 PM,0:02:02.841000,30.5,4.07,8,186,366,433,-18.4,39.9,86.9,50.7,-53.1,33.8,14.5,21.7,634,0.957,,48.7,51.3
55,5:11:07.6 PM,0:02:02.179000,29.4,4.09,8.5,202,413,458,-16.4,42.3,88.6,57.2,-53.9,34.7,12.6,18.8,628,1.003,,49.2,50.8
56,5:11:09.6 PM,0:02:01.950000,29.4,4.1,8.3,204,417,468,-20.6,38,89.4,56.3,-54.6,34.8,11.6,21.5,634,0.944,,46.3,53.7
57,5:11:11.7 PM,0:02:01.291000,30.3,4.12,8.3,184,364,417,-8.5,50.4,87.6,54.2,-52.6,35,14.5,18.9,653,0.96,,48.5,51.5
58,5:11:13.7 PM,0:02:00.966000,28.6,4.13,8.7,167,351,397,-18.4,41.6,92.3,52,-56.8,35.5,15.3,25.1,639,0.974,,46.4,53.6
59,5:11:15.8 PM,0:02:01.149000,29.4,4.13,8.4,196,400,465,-17.8,40.8,86.9,57.3,-53.3,33.6,11.7,17.9,636,1.003,,49.2,50.8
60,5:11:17.8 PM,0:02:02.343000,29.2,4.09,8.1,180,370,418,-18.8,39.8,89.9,53.8,-54.6,35.3,13.4,22.6,603,0.991,,48.2,51.8
61,5:11:19.9 PM,0:02:03.207000,29.4,4.06,7.9,178,364,432,-18.2,41.1,88.5,53.4,-54.6,33.9,12.6,22.6,629,1.05,,51.5,48.5
62,5:11:21.9 PM,0:02:03.515000,29.4,4.05,8.2,157,320,413,-19.1,40.3,86.8,47.7,-54.1,32.7,15.8,23.3,642,0.961,,47.1,52.9
