Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,6,,,,,,,,,,,,,,,,,,,,
Start Time,4:33:10.9 PM,,,,,,,,,,,,,,,,,,,,
End Time,4:44:16.1 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:11:05.2,,,,,,,,,,,,,,,,,,,,
Distance,2817 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
1,4:33:10.9 PM,0:36:41.249000,24.4,0.23,9,225,554,552,-10.3,51.2,90.1,63.4,-56.5,33.6,11,15.7,1418,1.082,,44,56
2,4:33:13.4 PM,0:29:29.641000,25,0.28,8.4,210,503,524,-21.2,39,89.6,61,-56.1,33.4,13.6,15,886,0.991,,41.3,58.7
3,4:33:15.8 PM,0:23:12.982000,26,0.36,9.6,210,486,587,-21.1,41.6,92.4,55.8,-59.5,32.9,17.5,19.1,758,0.977,,42.3,57.7
4,4:33:18.1 PM,0:02:12.027000,25.5,3.79,10,257,604,628,-19.8,43.4,91.8,66,-59.6,32.2,13.3,12.4,695,1.053,,44.7,55.3
5,4:33:20.5 PM,0:02:05.830000,25.5,3.97,9.2,239,562,585,-10.7,51.4,92.9,63.1,-58.6,34.4,15.3,14.5,771,1.065,,45.2,54.8
6,4:33:22.8 PM,0:02:01.111000,25.7,4.13,10.2,237,555,579,-16.9,46.1,94.8,62.6,-60.6,34.2,15.4,16.8,629,0.96,,41,59
7,4:33:25.1 PM,0:02:00.449000,25.3,4.15,9.8,161,381,416,-15.6,45.3,91.9,54.1,-57.2,34.7,19.7,18.1,600,0.959,,40.5,59.5
8,4:33:27.5 PM,0:02:01.746000,24.1,4.11,9.9,228,568,588,-22.9,38.9,93.3,65.5,-59.2,34.1,12.7,15.1,724,1.004,,40.3,59.7
9,4:33:30.0 PM,0:02:00.052000,24.7,4.16,10.4,253,614,605,-22.4,38.2,93.4,65.4,-58.1,35.4,14.2,13.8,702,0.975,,40.1,59.9
10,4:33:32.4 PM,0:01:59.594000,26,4.18,10.2,272,627,627,-9.7,52.3,92.4,65,-58.1,34.3,13.8,13.6,599,0.932,,40.4,59.6
11,4:33:34.7 PM,0:01:58.944000,25,4.2,10.4,223,535,553,-17.1,44.4,93.4,65.5,-58.6,34.9,14.7,13.2,916,1.051,,43.8,56.2
12,4:33:37.1 PM,0:01:56.316000,25.6,4.3,10.1,234,548,591,-17.8,44.6,92.1,63.4,-58.9,33.2,14.8,13.8,930,0.946,,40.4,59.6
13,4:33:39.5 PM,0:01:56.136000,25.6,4.31,9.9,226,529,562,-13.3,47.2,90.6,61.8,-56.1,34.5,15,13.9,681,1.005,,42.9,57.1
14,4:33:41.8 PM,0:01:55.826000,25.6,4.32,10.8,213,498,543,-16.9,43.3,90,62,-55.9,34.1,13.5,14.6,771,0.887,,37.9,62.1
15,4:33:44.2 PM,0:01:54.660000,24.9,4.36,10.2,160,386,448,-8.9,51.2,89.3,54,-54.6,34.7,18.6,16.7,699,0.959,,39.7,60.3
16,4:33:46.6 PM,0:01:55.629000,25,4.32,10.1,223,536,559,-19.4,42.1,92.4,63.1,-58.3,34.1,14.2,15.2,607,0.974,,40.6,59.4
17,4:33:49.0 PM,0:01:54.908000,26.1,4.35,10.3,229,525,563,-20.5,40.7,89.6,61.8,-57,32.6,11.2,16.6,622,0.96,,41.8,58.2
18,4:33:51.3 PM,0:01:56.365000,26,4.3,9.3,228,526,583,-11.9,50.7,93.1,61,-59.1,34,16.1,16,679,1.006,,43.5,56.5
19,4:33:53.6 PM,0:01:57.267000,27.4,4.26,9.8,212,464,537,-12.6,48.3,89.9,57.5,-56,33.9,15.5,16.9,756,0.975,,44.5,55.5
20,4:33:55.8 PM,0:01:55.594000,25.3,4.33,10.3,251,595,634,-11.8,49.6,92.4,63.8,-57.6,34.8,13.6,14.9,677,1.067,,45,55
21,4:33:58.1 PM,0:01:55.099000,26.3,4.34,10.3,255,582,613,-19.8,42,93.7,66,-59.1,34.6,12,15.7,619,1.02,,44.7,55.3
22,4:34:00.4 PM,0:01:54.876000,26.7,4.35,9.4,237,532,576,-20.8,40.2,91,61.7,-57.4,33.6,13.2,16.1,700,0.93,,41.4,58.6
23,4:34:02.7 PM,0:01:54.264000,25.3,4.38,10.2,224,531,593,-18.3,42.9,91.2,61.7,-57.4,33.8,15.8,13.8,688,1.005,,42.4,57.6
24,4:34:05.0 PM,0:01:54.313000,27.6,4.37,10.1,223,484,533,-18.1,43.7,93.9,59.6,-59.1,34.8,16.6,17.7,693,0.886,,40.7,59.3
25,4:34:07.2 PM,0:01:55.646000,25.5,4.32,9.2,186,439,527,-16.4,43.7,90,56.6,-55.7,34.3,14.4,19,659,0.928,,39.4,60.6
26,4:34:09.6 PM,0:01:56.885000,25.6,4.28,10.2,240,561,616,-17.3,44.4,92.6,64.3,-58.4,34.1,12.2,16.1,598,1.048,,44.8,55.2
27,4:34:11.9 PM,0:01:57.054000,26.5,4.27,10.4,190,430,509,-16.3,43.2,88.2,54.8,-54.4,33.8,16.8,16.6,633,0.959,,42.3,57.7
28,4:34:14.2 PM,0:01:56.843000,26.3,4.28,9.7,252,575,631,-19.2,42.4,91.4,62.8,-58,33.4,12.8,15.8,608,0.974,,42.7,57.3
29,4:34:16.5 PM,0:01:56.451000,25.6,4.29,9.7,203,474,550,-17.9,41.5,89.7,58.4,-55.1,34.6,13.8,17.5,656,1.02,,43.6,56.4
30,4:34:18.8 PM,0:01:55.847000,26.5,4.32,9.8,233,528,552,-17.9,43.7,92.1,63,-58.1,34,13.2,15.9,621,0.96,,42.4,57.6
31,4:34:21.1 PM,0:01:55.696000,26,4.32,10.4,234,541,600,-18.9,42,91.3,62.2,-57.2,34.1,14.2,14.9,712,1.111,,48.1,51.9
32,4:34:23.4 PM,0:01:55.867000,26.3,4.32,9.9,223,509,546,-16.5,44.6,92,61.8,-57.6,34.4,13.3,16.9,730,1.095,,48,52
33,4:34:25.7 PM,0:01:55.204000,26,4.34,10.1,243,561,610,-17.5,44.4,93.4,61,-58.9,34.4,14.4,18,655,1.08,,46.8,53.2
34,4:34:28.0 PM,0:01:52.582000,25,4.44,11.1,212,508,565,-21.7,38.8,91.9,61.1,-57.4,34.5,14.5,16.3,758,1.019,,42.5,57.5
35,4:34:30.4 PM,0:01:53.225000,26.1,4.42,9.4,192,440,517,-18.2,43,92.3,57.2,-57.9,34.3,16.3,18.7,745,1.006,,43.8,56.2
36,4:34:32.7 PM,0:01:55.134000,26.1,4.34,9.7,151,346,437,-11.4,49.4,91.8,51.3,-56.7,35.1,19,21.5,691,0.991,,43.2,56.8
37,4:34:35.0 PM,0:01:53.191000,25.8,4.42,10.9,223,517,589,-19.8,41.5,91.9,61.6,-57.9,34,12.8,17.6,639,1.094,,47.1,52.9
38,4:34:37.3 PM,0:01:55.701000,25.5,4.32,9.3,210,495,584,-15.2,45.6,89.6,58,-56.1,33.5,13.7,17.8,723,0.971,,41.2,58.8
39,4:34:39.6 PM,0:01:58.687000,26.3,4.21,9,190,434,529,-15.7,44.8,89.7,55.1,-55.9,33.8,17.3,17.3,699,1.02,,44.8,55.2
40,4:34:41.9 PM,0:01:59.557000,26,4.18,9.7,240,554,621,-15.1,47.4,93.3,62.1,-59.3,33.9,15.4,15.8,640,1.018,,44.1,55.9
41,4:34:44.2 PM,0:02:03.608000,26.3,4.05,8.8,245,558,627,-22.5,39.5,92.9,62.7,-59.2,33.7,12.9,17.3,614,1.022,,44.8,55.2
