Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,9,,,,,,,,,,,,,,,,,,,,
Start Time,5:09:18.4 PM,,,,,,,,,,,,,,,,,,,,
End Time,5:21:19.2 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:12:00.8,,,,,,,,,,,,,,,,,,,,
Distance,3013 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,B,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
1,5:09:18.4 PM,0:33:39.162000,24.4,0.25,7.1,250,615,692,-1.1,60.8,85.5,64.7,-53.1,32.4,16.7,4.2,823,1.109,,45.1,54.9
2,5:09:20.8 PM,0:25:41.003000,28.2,0.32,7.6,289,615,620,-3.1,57.5,90.9,70.5,-55.4,35.5,11.9,8.5,684,0.96,,45.1,54.9
3,5:09:23.0 PM,0:18:59.201000,27.8,0.44,8.6,286,618,699,-3.5,57.9,87.8,70.1,-54.3,33.5,13.4,4.3,600,0.989,,45.8,54.2
4,5:09:25.1 PM,0:02:30.642000,32,3.32,7.8,340,637,695,-6,55.8,88.3,71.2,-55.3,33,11.2,5.9,618,0.854,,45.5,54.5
5,5:09:27.0 PM,0:02:11.912000,28,3.79,9.5,241,518,597,-0.7,62.3,89.9,64.3,-56.7,33.2,20.5,5.1,684,1.019,,47.5,52.5
6,5:09:29.2 PM,0:02:02.166000,29.9,4.09,8.6,299,601,681,-5.4,56.3,89.5,67.9,-55.7,33.8,14.5,7.1,632,0.961,,47.8,52.2
7,5:09:31.2 PM,0:01:57.654000,27.8,4.25,9.3,258,557,613,-3.7,59.4,86.7,68.4,-55.2,31.4,13.2,5.1,636,0.913,,42.3,57.7
8,5:09:33.3 PM,0:01:56.920000,30.8,4.28,8,305,595,667,-5.3,56.4,86.8,67.1,-54.2,32.5,12.5,7.2,632,0.828,,42.4,57.6
9,5:09:35.3 PM,0:01:56.408000,29.9,4.3,8.6,212,426,493,0.1,59.6,90.6,55.2,-53.8,36.8,23.3,12.1,676,0.854,,42.5,57.5
10,5:09:37.3 PM,0:01:57.368000,28.8,4.26,8.8,256,534,622,-4.7,56.8,89.1,69.3,-55.3,33.8,12,7.8,602,0.898,,43.1,56.9
