Athlete,vespoli usa,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,8,,,,,,,,,,,,,,,,,,,,
Start Time,4:53:02.2 PM,,,,,,,,,,,,,,,,,,,,
End Time,5:04:00.2 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:10:58.0,,,,,,,,,,,,,,,,,,,,
Distance,2838 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,B,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
32,4:54:09.7 PM,0:01:54.820000,28.6,4.35,9.1,252,528,585,-7.6,54.1,91.6,69.2,-57.1,34.4,13.5,8.9,700,1.018,,48.5,51.5
33,4:54:11.8 PM,0:01:56.413000,28.6,4.3,8.9,227,477,498,-9.9,52.2,91.9,66.2,-57.8,34.1,15.9,9.7,661,0.886,,42.2,57.8
34,4:54:13.9 PM,0:01:54.610000,27.6,4.36,10.1,229,497,531,0.5,62.6,92.6,66.1,-57.4,35.2,16.8,9.7,635,1.033,,47.5,52.5
35,4:54:16.0 PM,0:01:52.895000,28.4,4.43,10,260,549,574,-5.8,56.9,95,71.2,-59.9,35.1,14.3,9.5,680,0.93,,44,56
36,4:54:18.1 PM,0:01:51.502000,28.6,4.48,9.4,231,485,545,-5.4,58.2,90.3,66.2,-58,32.3,15.4,8.6,653,0.961,,45.8,54.2
37,4:54:20.2 PM,0:01:50.935000,28.8,4.51,9,247,515,560,-3.8,59,90.9,66.5,-57.4,33.5,14.3,10.2,696,0.885,,42.4,57.6
38,4:54:22.3 PM,0:01:50.684000,28.4,4.52,9.2,219,464,535,-5.6,55.6,92,65.3,-56.7,35.3,13.3,13.3,648,0.989,,46.8,53.2
39,4:54:24.4 PM,0:01:52.885000,27.2,4.43,9.4,231,510,540,-12.8,50.7,89.6,70.1,-58.2,31.4,11,8.4,647,0.914,,41.5,58.5
40,4:54:26.6 PM,0:01:54.934000,28.4,4.35,9.6,198,419,483,-2.6,59.4,92.3,54.2,-57.4,34.9,27.4,10.7,672,0.961,,45.4,54.6
41,4:54:28.8 PM,0:01:54.937000,27.8,4.35,9.5,221,477,542,-0.2,62,92.4,64.1,-57.5,34.9,16.8,11.5,713,0.975,,45.2,54.8
42,4:54:30.9 PM,0:01:54.960000,27.4,4.35,9.6,236,518,596,-12.6,48.7,90.9,67,-56.9,34.1,12.8,11.1,653,0.886,,40.4,59.6
43,4:54:33.1 PM,0:01:54.476000,27.8,4.37,9.5,253,547,618,-6.2,56.5,91.3,66.8,-57.8,33.5,13.2,11.3,675,0.915,,42.4,57.6
44,4:54:35.3 PM,0:01:53.671000,26.3,4.4,10,237,540,617,-3.6,60.6,91.3,69.7,-58.9,32.3,15.1,6.5,705,1.02,,44.8,55.2
45,4:54:37.6 PM,0:01:54.567000,29.2,4.36,9,275,564,598,-6.1,55.8,93.9,70,-58.5,35.4,14.8,9.1,674,0.96,,46.7,53.3
46,4:54:39.6 PM,0:01:54.693000,27.6,4.36,9.5,274,597,670,-6.7,55.2,94.2,68.1,-58.7,35.5,16.8,9.3,673,0.931,,42.8,57.2
47,4:54:41.8 PM,0:01:54.347000,27.8,4.37,9.6,287,620,646,-15.6,47,96.1,72.7,-60.8,35.3,13,10.4,666,0.869,,40.3,59.7
48,4:54:43.9 PM,0:01:54.136000,28,4.38,9.8,264,566,625,-9.8,53.3,90.6,67.8,-58.1,32.5,13.8,9.1,670,1.005,,46.9,53.1
49,4:54:46.1 PM,0:01:51.917000,27.9,4.47,9.5,264,566,617,-8,54.7,91.7,67.1,-58.2,33.5,14.3,10.3,655,0.884,,41.2,58.8
50,4:54:48.2 PM,0:01:52.242000,27.4,4.45,9.3,222,486,575,-5.6,57.5,90.3,63.1,-57.4,32.8,17.3,9.8,670,1.033,,47.2,52.8
51,4:54:50.4 PM,0:01:53.456000,26.6,4.41,9.5,216,487,546,-8.6,54.8,90.1,65.3,-58,32.1,15.1,9.7,598,1.051,,46.7,53.3
52,4:54:52.7 PM,0:01:55.386000,29.9,4.33,8.2,267,537,620,-6.9,54.8,91.4,63.4,-57.1,34.4,17.8,10.2,669,0.87,,43.3,56.7
53,4:54:54.7 PM,0:01:57.696000,26.3,4.25,10.1,224,510,592,-1.9,62.3,90,66.3,-58,32,14.9,8.8,698,1.02,,44.8,55.2
54,4:54:57.0 PM,0:01:56.919000,29.6,4.28,9,231,468,533,-4.3,56.2,95.7,65.1,-58.1,37.6,16.3,14.3,703,0.915,,45.2,54.8
55,4:54:59.0 PM,0:01:55.609000,27.8,4.32,9.7,221,478,527,-2,59.7,93.4,64.8,-57.7,35.7,16.9,11.7,698,0.902,,41.7,58.3
56,4:55:01.1 PM,0:01:54.220000,27.8,4.38,9.6,234,506,582,-1,59.3,95.3,65.9,-57.4,37.8,16,13.4,706,0.899,,41.7,58.3
57,4:55:03.3 PM,0:01:52.789000,26.5,4.43,9.8,208,471,549,-2.2,61.5,89.1,65.4,-57,32.1,16.4,7.3,675,0.96,,42.4,57.6
58,4:55:05.6 PM,0:01:54.014000,29,4.39,8.9,224,464,537,-0.2,61.9,90.9,61.6,-56.6,34.4,18.2,11.1,684,0.9,,43.5,56.5
59,4:55:07.6 PM,0:01:55.463000,26.7,4.33,9.5,206,462,554,-4.9,59.3,91.1,66.6,-58.9,32.2,16.2,8.3,681,0.931,,41.4,58.6
60,4:55:09.9 PM,0:01:55.599000,28.4,4.33,9.6,263,555,599,-6.6,54.9,94.4,68,-58.5,35.9,13.6,12.8,654,0.896,,42.4,57.6
61,4:55:12.0 PM,0:01:55.001000,27.9,4.35,9.7,251,540,596,-10.9,52.3,93.4,68.3,-59.8,33.6,14.1,11,692,0.948,,44.1,55.9
62,4:55:14.2 PM,0:01:53.106000,26.8,4.42,9.9,207,464,546,-2,62.4,88.6,64.5,-57.3,31.3,16.4,7.8,714,1.036,,46.4,53.6
