Athlete,Unspecified,,,,,,,,,,,,,,,,,,,,
Date,"Mon, Apr 27 2026",,,,,,,,,,,,,,,,,,,,
Interval,8,,,,,,,,,,,,,,,,,,,,
Start Time,4:53:01.8 PM,,,,,,,,,,,,,,,,,,,,
End Time,5:02:21.5 PM,,,,,,,,,,,,,,,,,,,,
Duration,0:09:19.7,,,,,,,,,,,,,,,,,,,,
Distance,2404 m,,,,,,,,,,,,,,,,,,,,
Class,4+,,,,,,,,,,,,,,,,,,,,
Shell,1,,,,,,,,,,,,,,,,,,,,
Seat,S,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Stroke,Timestamp,Split,SPM,Speed (m/s),DPS (m),Power (W),Work (J),Peak N,Peak °,Peak %,Length (°),Connection (°),Catch (°),Release (°),Slip (°),Wash (°),Check (ms),Drive Time (s),HR (bpm),Drive %,Recovery %
1,4:53:01.8 PM,0:47:30.148000,24,0.18,8.3,180,451,495,-11.4,50.9,80.4,57.5,-52.3,28.1,12,10.9,999,1.198,,47.8,52.2
2,4:53:04.3 PM,0:41:52.081000,26.9,0.2,8.4,237,528,571,-10,54.5,80,60.1,-53.6,26.4,10.9,9,685,0.958,,42.9,57.1
3,4:53:06.5 PM,0:05:35.991000,28.4,1.49,8.9,200,422,516,-19.4,41.4,78.6,50.6,-51.9,26.6,17.9,10.1,808,0.869,,41.1,58.9
4,4:53:08.6 PM,0:02:17.501000,28.1,3.64,9,206,439,546,-14.7,48.7,80.6,52.5,-54,26.6,16.9,11.2,656,0.841,,39.4,60.6
5,4:53:10.7 PM,0:02:06.215000,27.8,3.96,9.3,199,429,542,-14.2,47.3,78.1,52.2,-51.2,26.9,14.7,11.1,662,0.989,,45.8,54.2
6,4:53:12.9 PM,0:01:59.587000,28.4,4.18,8.6,223,472,575,-14.4,47,79.8,54.2,-51.9,27.9,15.3,10.2,710,0.959,,45.3,54.7
7,4:53:15.0 PM,0:01:59.087000,28.3,4.2,8.7,217,460,537,-16.6,46.7,83.6,55.2,-55.6,27.9,16.6,11.7,621,0.841,,39.7,60.3
8,4:53:17.1 PM,0:01:58.276000,26.7,4.23,9.5,213,478,557,-13.7,49.5,81.5,57.5,-54.1,27.4,13.9,10,702,1.049,,46.7,53.3
9,4:53:19.4 PM,0:01:55.960000,27.8,4.31,10.4,217,468,550,-16.5,44.3,80.6,55.1,-52.2,28.4,15,10.4,772,0.992,,45.9,54.1
10,4:53:21.5 PM,0:01:53.008000,26.3,4.42,10.7,211,480,550,-12.5,50.5,82.3,56.3,-54.1,28.2,13.8,12.2,715,1.049,,46,54
11,4:53:23.8 PM,0:01:50.019000,27,4.54,9.4,140,311,422,-14.7,47.3,82.1,46.3,-53.5,28.6,21.7,14.2,698,0.943,,42.5,57.5
12,4:53:26.0 PM,0:01:50.583000,27,4.52,9.1,196,435,528,-13,49.6,83.1,53.7,-54.2,28.9,16.9,12.5,750,0.885,,39.8,60.2
